Numéro de station OMM,Date et heure d'observation,Direction du vent (degrés),Vitesse du vent moyen 10mn,Humidité relative (%),Visibilité horizontale (m),Nebulosité totale,Hauteur base nuages (m),Pression au niveau station,Rafale 10 dernières minutes,Précipitations 24h (mm),Nom de la station,Température (°C),T° min 24h (°C),T° max 24h (°C),Latitude,Longitude,Altitude (m),Libellé géographique,Nom département,Code département,Nom région,Code région,Mois de l'année,distance_km_poitiers
07335,2025-06-05T15:00:00+00:00,210.0,10.5,92.0,11140.0,52,450.0,99880.0,15.6,0.4,POITIERS-BIARD,16.30000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-07T15:00:00+00:00,220.0,7.3,69.0,60000.0,0,2250.0,100150.0,11.1,-0.1,POITIERS-BIARD,19.80000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-08T12:00:00+00:00,300.0,3.0,48.0,60000.0,0,1250.0,100920.0,6.2,1.0,POITIERS-BIARD,20.30000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-12T00:00:00+00:00,40.0,1.1,61.0,40200.0,0,4020.0,99620.0,2.5,-0.1,POITIERS-BIARD,23.100000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-14T15:00:00+00:00,310.0,4.0,44.0,19950.0,0,2250.0,100590.0,7.1,0.0,POITIERS-BIARD,26.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-02T15:00:00+00:00,280.0,1.8,40.0,18220.0,0,1750.0,100420.0,4.0,-0.1,POITIERS-BIARD,23.200000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-03T21:00:00+00:00,240.0,3.2,78.0,60000.0,0,1750.0,99980.0,5.5,0.0,POITIERS-BIARD,14.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-13T18:00:00+00:00,220.0,6.3,39.0,18660.0,0,3660.0,99930.0,9.5,0.0,POITIERS-BIARD,31.80000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-05-31T03:00:00+00:00,190.0,3.3,83.0,58740.0,0,3720.0,100340.0,4.3,0.0,POITIERS-BIARD,19.80000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,5,2.500087253165825
07335,2025-06-05T09:00:00+00:00,210.0,8.1,78.0,42130.0,0,800.0,99960.0,12.8,0.6,POITIERS-BIARD,16.700000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-09T00:00:00+00:00,310.0,2.8,88.0,59650.0,0,,100980.0,4.0,0.4,POITIERS-BIARD,11.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-03T12:00:00+00:00,230.0,5.1,54.0,19630.0,0,1750.0,100050.0,8.9,0.0,POITIERS-BIARD,21.30000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-06T12:00:00+00:00,240.0,5.7,80.0,18540.0,0,450.0,100220.0,9.3,7.8,POITIERS-BIARD,17.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-06T18:00:00+00:00,240.0,5.4,63.0,60000.0,0,1250.0,100120.0,8.5,6.8,POITIERS-BIARD,19.80000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-06T21:00:00+00:00,240.0,3.6,85.0,60000.0,0,6540.0,100180.0,5.5,6.0,POITIERS-BIARD,14.100000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-10T15:00:00+00:00,240.0,4.0,36.0,16370.0,0,,100480.0,6.3,0.0,POITIERS-BIARD,29.200000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-18T15:00:00+00:00,50.0,5.0,32.0,60000.0,0,,100760.0,8.2,0.0,POITIERS-BIARD,30.700000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-28T00:00:00+00:00,330.0,3.2,77.0,60000.0,0,,101160.0,5.0,0.2,POITIERS-BIARD,20.80000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-29T00:00:00+00:00,330.0,2.3,64.0,60000.0,0,,101050.0,3.6,0.0,POITIERS-BIARD,23.200000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-29T03:00:00+00:00,350.0,2.0,79.0,60000.0,0,,100970.0,2.7,0.0,POITIERS-BIARD,19.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-15T00:00:00+00:00,320.0,4.4,68.0,60000.0,0,1750.0,100840.0,6.3,0.0,POITIERS-BIARD,17.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-21T09:00:00+00:00,120.0,3.5,43.0,19700.0,0,,100400.0,5.6,0.0,POITIERS-BIARD,31.100000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-24T18:00:00+00:00,270.0,1.5,33.0,60000.0,0,,100040.0,2.6,0.0,POITIERS-BIARD,31.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-25T06:00:00+00:00,110.0,3.4,73.0,60000.0,0,30.0,99860.0,7.1,0.4,POITIERS-BIARD,21.700000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-28T09:00:00+00:00,60.0,2.2,59.0,60000.0,0,,101250.0,4.5,0.0,POITIERS-BIARD,26.200000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
